username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-01-02 04:00;0;0;"Head to the stars with Black Hole Apocalypse and then get your extraterrestrial fix with a few eps of Ancient Aliens";;;;"1212569240290648065";https://twitter.com/netflix/status/1212569240290648065
;2020-01-02 04:00;1;2;"The Witcher is so great - you have to watch Lost In Space next!";;;;"1212569199278776321";https://twitter.com/netflix/status/1212569199278776321
;2020-01-02 03:59;1;3;"If you're a Gilmore Girls fan and haven't checked out the Gilmore Girls: A Year In The Life, now is a great time! You'll laugh and cry. Orange is the New Black is great for alternating between laughing and crying, too # WhatToWatchOnNetflix";;;#;"1212569108899864576";https://twitter.com/netflix/status/1212569108899864576
;2020-01-02 03:59;0;1;"how about A Series of Unfortunate Events, Raising Dion or Riverdale?";;;;"1212569075991404551";https://twitter.com/netflix/status/1212569075991404551
;2020-01-02 03:59;0;1;"It's a great show and John Mulaney is really funny in it! You should check out some of his other stuff, like New Kid In Town and The Sack Lunch Bunch! # whattowatchonnetflix";;;#;"1212569049584066560";https://twitter.com/netflix/status/1212569049584066560
;2020-01-02 03:58;0;1;"you may feel dead inside, but you're not Dead to Me (watch Dead to Me).";;;;"1212568852925681664";https://twitter.com/netflix/status/1212568852925681664
;2020-01-02 03:57;0;1;"for more fantasy adventure, try The Witcher and Raising Dion!";;;;"1212568640853303298";https://twitter.com/netflix/status/1212568640853303298
;2020-01-02 03:57;0;1;"Give Russian Doll, The Society and Sick Note can easily fill your 4 days. It has been said. # whattowatchonnetflix";;;#;"1212568535806947332";https://twitter.com/netflix/status/1212568535806947332
;2020-01-02 03:56;0;1;"The Witcher is so great! How about watching Lost In Space next? There are two seasons available now.";;;;"1212568379804008448";https://twitter.com/netflix/status/1212568379804008448
;2020-01-02 03:56;0;2;"For something a little scary try V Wars. Also, on the off-chance you haven’t binged all of Stranger Things yet… definitely do that. # whattowatchonnetflix";;;#;"1212568232407814144";https://twitter.com/netflix/status/1212568232407814144
;2020-01-02 03:55;0;1;"Give Dead To Me a shot, it's got tons of twists # whattowatchonnetflix";;;#;"1212567940672954369";https://twitter.com/netflix/status/1212567940672954369
;2020-01-02 03:54;0;1;"watch Murder Mystery to go on a quick vacation and take your mind off of work!";;;;"1212567851648847872";https://twitter.com/netflix/status/1212567851648847872
;2020-01-02 03:54;1;2;"Try out The Last Kingdom and if that doesn't connect with you, you might like Lucifer! # WhatToWatchOnNetflix";;;#;"1212567727283605505";https://twitter.com/netflix/status/1212567727283605505
;2020-01-02 03:53;0;0;"for another psychological thriller, watch The Perfection!";;;;"1212567596928765952";https://twitter.com/netflix/status/1212567596928765952
;2020-01-02 03:53;3;30;"John Mulaney & The Sack Lunch Bunch and Magic For Humans could definitely put a smile on anyone's face. Here's to a less blah 2020! # whattowatchonnetflix";;;#;"1212567575223316480";https://twitter.com/netflix/status/1212567575223316480
;2020-01-02 03:52;0;0;"You is so great! How about watching Dirty John next?";;;;"1212567402749288448";https://twitter.com/netflix/status/1212567402749288448
;2020-01-02 03:52;0;0;"have you seen The Sinner? There are two seasons to watch and it's a mystery/thriller.";;;;"1212567227465113601";https://twitter.com/netflix/status/1212567227465113601
;2020-01-02 03:51;42;578;"Sorry you're down. Umbrella Academy could bring you back to life. # whattowatchonnetflix";;;#;"1212567104899170304";https://twitter.com/netflix/status/1212567104899170304
